Date,Open,High,Low,Close,Adj Close,Volume
2022-05-23,2202.080078,2240.110107,2183.084961,2233.330078,2233.330078,1577900
2022-05-24,2127.550049,2127.899902,2044.160034,2118.520020,2118.520020,3019300
2022-05-25,2102.840088,2130.894043,2084.225098,2116.790039,2116.790039,1895000
2022-05-26,2121.010010,2179.104980,2109.760010,2165.919922,2165.919922,1514400
2022-05-27,2195.770020,2257.360107,2191.000000,2255.979980,2255.979980,1496200
2022-05-31,2261.580078,2328.669922,2251.449951,2280.780029,2280.780029,2565100
2022-06-01,2298.629883,2347.979980,2271.010010,2282.739990,2282.739990,1431500
2022-06-02,2283.760010,2357.959961,2266.159912,2354.919922,2354.919922,1373600
2022-06-03,2319.850098,2327.290039,2273.360107,2291.280029,2291.280029,1252600
2022-06-06,2334.850098,2387.969971,2330.565918,2340.209961,2340.209961,1189300
2022-06-07,2312.959961,2354.972900,2302.510010,2344.590088,2344.590088,1320700
2022-06-08,2337.530029,2372.919922,2333.935059,2344.760010,2344.760010,1127200
2022-06-09,2326.830078,2367.000000,2297.340088,2298.360107,2298.360107,1157100
2022-06-10,2255.625000,2269.939941,2217.219971,2228.550049,2228.550049,1566200
2022-06-13,2148.919922,2184.370117,2131.760986,2137.530029,2137.530029,1837800
2022-06-14,2137.800049,2169.149902,2127.040039,2143.879883,2143.879883,1274000
2022-06-15,2177.989990,2241.260010,2162.375000,2207.810059,2207.810059,1659600
2022-06-16,2162.989990,2185.810059,2115.850098,2132.719971,2132.719971,1765700
2022-06-17,2130.699951,2184.989990,2112.571045,2157.310059,2157.310059,2163500
2022-06-21,2194.040039,2253.459961,2185.870117,2240.300049,2240.300049,1950500
2022-06-22,2223.260010,2275.389893,2214.486084,2240.679932,2240.679932,1196100
2022-06-23,2259.000000,2263.929932,2220.580078,2253.689941,2253.689941,1235500
2022-06-24,2272.060059,2372.750000,2272.060059,2370.760010,2370.760010,1954700
2022-06-27,2378.699951,2385.000000,2320.014893,2332.449951,2332.449951,1642000
2022-06-28,2327.020020,2357.129883,2248.879883,2251.429932,2251.429932,1411600
2022-06-29,2242.969971,2273.290039,2231.080078,2245.129883,2245.129883,931400
2022-06-30,2209.989990,2226.595947,2146.199951,2187.449951,2187.449951,1902300
2022-07-01,2166.739990,2196.126953,2142.100098,2181.620117,2181.620117,1550600
